[2025-07-09 14:53:23] [INFO    ] discord.client: logging in using static token
[2025-07-09 14:53:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-09 14:53:23] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-09 14:53:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1392316239270903808', 'username': 'greenhouse greetings', 'avatar': '286f860ce2dd677325666e3d01159105', 'discriminator': '4635', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-09 14:53:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-09 14:53:24] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-09 14:53:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1392316239270903808', 'name': 'bean greenhouse', 'icon': '286f860ce2dd677325666e3d01159105', 'description': "good morning divine blessings! i'll be sure to greet you every morning with a nice quote and flower of the day :)", 'type': None, 'bot': {'id': '1392316239270903808', 'username': 'greenhouse greetings', 'avatar': '286f860ce2dd677325666e3d01159105', 'discriminator': '4635', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'e61cf729a4aabcda3c08820b24d9e663d7775c670c2666f4199bbb5aacced83e', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '283385770155180032', 'username': 'bran7astic', 'avatar': '8be53db13757ad54fcd48b6429f28a6d', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': 'a_b705f07c3cb9014511860225a906d50e', 'accent_color': 7536541, 'global_name': 'brando 🌱', 'avatar_decoration_data': {'asset': 'a_40222dd9e7bb6e2949cd8f4bd857fe8b', 'sku_id': '1384247972107386911', 'expires_at': None}, 'collectibles': None, 'banner_color': '#72ff9d', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-09 14:53:24] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-09 14:53:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-0nwh",{"micros":0.0}]']}}
[2025-07-09 14:53:24] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-09 14:53:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
